WeekID,Date,Weekday,Task1,Manuscript1,Type1,Progress1/%,SpentTime1/h,Task2,Manuscript2,Type2,Progress2/%,SpentTime2/h,WordCount,ParagraphCount,ProductivityRating (1-5),ExtraEvent,ExtraTime/h,CriticalEvent/TurningPoint/ProjectMilestone,Comments/Obstacles
W155,2023-1-2,1,Refine figures; finish 1st draft,M3,Revision,100,2.5,Resolve comments - last paragraph,M1,Revision,100,1.5,,,4,read & draft,1.5,,not recorded: 1.5h reading and writing for T-Intro
W155,2023-1-3,2,"Bayesian models and examples, pt1/2",T-Intro,Draft,50,4.5,Read about inference models,T-Intro,Literature,100,1,772,6.5,3.5,,0,,failed in finding useful literature about model frameworks
W155,2023-1-4,3,"Bayesian models and examples, pt2/2",T-Intro,Draft,100,3.5,Organize all references: Bayesian models,T-Intro,Literature,100,1,601,4,4.5,read,1,,not recorded: 1h reading about time perception
W155,2023-1-5,4,Read Vilares2011-xf and take notes,T-Intro,Literature,100,1.5,"Reference repulsion, pt1/4",T-Intro,Draft,65,1.5,413,2.5,3,,0,,needed to get off earlier; got distracted 
W155,2023-1-6,5,"Reference repulsion, pt1/4",T-Intro,Draft,100,1.2,"Reference repulsion, pt2/4",T-Intro,Draft,60,2.5,690,3.5,4,,0,,
W156,2023-1-9,1,"Reference repulsion, pt2/4",T-Intro,Draft,100,3.5,Resolve comments & general revision,M1,Revision,30,0.5,555,4,4,,0,,better to get refreshed before continuing revising M1
W156,2023-1-10,2,Resolve comments & general revision,M1,Revision,100,2,"Reference repulsion, pt3/4",T-Intro,Draft,100,1.5,313,3,4,read & take notes,1.5,,not recorded: 1.5h reading and taking notes for T-Intro
W156,2023-1-11,3,General revision & check submission requirements,M1,Revision,100,1.5,"Reference repulsion, pt4/4",T-Intro,Draft,70,3,501,3,3.5,participate in experiments ,1.7,,
W156,2023-1-12,4,"Reference repulsion, pt4/4",T-Intro,Draft,100,1,Read and take notes on population coding ,T-Intro,Literature,80,2,289,3,2,participate in experiments ,1.5,,procrastination for 2h
W156,2023-1-13,5,Revise & rephrase Results,M2,Revision,100,1.75,"Color perception, pt 1/4",T-Intro,Draft,100,2.5,522,3.5,5,read & reply emails,1.3,,group study in library for 4h
W157,2023-1-16,1,Revise & rephrase Discussion,M2,Revision,100,2.75,"Color perception, pt 2/4",T-Intro,Draft,0,0,0,0,4.5,"meeting, participate in experiments, talk",4.5,,
W157,2023-1-17,2,"Color perception, pt 2-3/4",T-Intro,Draft,70,3,Read textbook: color vision and pathways,T-Intro,Literature,70,1,445,4,3,participate in experiments ,1.5,,could not concentrate in the morning
W157,2023-1-18,3,"Color perception, pt 3-4/4, fill in reference",T-Intro,Draft,100,3.5,Read textbook: color vision and pathways,T-Intro,Literature,100,1.5,380,3,4.5,participate in experiments ,1.75,,
W157,2023-1-19,4,"Organize the draft parts, structure an outline",T-Intro,Draft,100,1,General introduction of sensory information processing,T-Intro,Literature,10,0.5,0,0,2.5,"meeting, participate in experiments",2.5,,
W157,2023-1-20,5,General introduction of sensory information processing,T-Intro,Literature,70,0.5,General introduction of sensory information processing,T-Intro,Draft,100,2,377,3,5,weekly career building ,2.5,,
W158,2023-1-23,1,"General introduction of contextual bias, pt1",T-Intro,Draft,70,2.5,,,,,,147,1.2,3.5,meeting,1.5,,difficulties in coming up with examples; messaging for 1h
W158,2023-1-24,2,"General introduction of contextual bias, pt1-2",T-Intro,Draft,70,0,Aim of the Thesis (template),T-Intro,Draft,100,3,554,3,4,"make analysis and plots to reply emails, participate in experiments ",3,,did not find time to work on task 1
W158,2023-1-25,3,"General introduction of contextual bias, science part",T-Intro,Draft,100,2,Structure an outline ,T-Dis,Draft,100,1,149,1,4.5,"participate in experiments, discuss models, make new plots",4.75,,
W158,2023-1-26,4,Read about gain control models,T-Dis,Literature,50,0.5,Make plots for meetings,M1,Analysis,100,1,0,0,4,appointments; half day off,0,,
W158,2023-1-27,5,Prepare/draft cover letter - research part,M1,Draft,100,1.5,Learn style from senior's thesis discussion ,T-Dis,Literature,,,212,2.5,4,weekly career building ,2.5,,
W159,2023-1-30,1,Evergreen note - color vs orientation ,T-Dis,Literature,70,0.5,"Color vs orientation, pt1",T-Dis,Draft,70,3,403,2.5,3.5,meeting,1.5,,
W159,2023-1-31,2,"Color vs orientation, pt1",T-Dis,Draft,100,1.25,Check remaining issues; insert cover letter,M1,Revision,100,1,167,1,3.5,"meetings, literature reading",3,,
W159,2023-2-1,3,Test runs of bootstrapping ,M1,Revision,60,1,Resolve comments & redo stats - behav Results ,M2,Revision,70,5.5,0,0,4,,0,,spent longer time than expected in coding and rewriting codes
